ID,Assembly
1,Mahadevapura
2,B. T. M. Layout
3,Bommanahalli
4,C. V. Raman Nagar
5,Shanti Nagar
6,Bangalore South
7,Krishnarajapuram
8,Byatarayanapura
9,Jayanagar
10,Shivajinagar
11,Sarvagnanagar
12,Rajarajeshwarinagar
13,Chickpet
14,Malleshwaram
15,Padmanabhanagar
16,Gandhi Nagar
17,Hebbal
18,Yeshwantpur
19,Basavanagudi
20,Dasarahalli
21,Yelahanka
22,Mahalakshmi Layout
23,Pulakeshinagar
24,Vijay Nagar
25,Govindraj Nagar
26,Rajaji Nagar
27,Anekal
28,Chamrajpet
29,Hoskote
30,Nelamangala
31,Other Assemblies
32,Devanahalli
33,Magadi
34,Doddaballapur
35,Ramanagaram
36,Channapatna
37,Kanakapura
